global_id,class_id,is_visual_rep,r1,r2,r3,r4,r5,r6,r7,r8,r9,n_up,n_ne,n_nw
219,5,0,"ne(2,3)","ne(2,5)","ne(2,1)","ne(4,3)","ne(4,5)","ne(4,1)","up(4,0)","up(4,2)","up(4,4)",3,6,0
220,5,0,"ne(2,3)","ne(2,5)","nw(3,2)","nw(1,4)","nw(5,0)","ne(4,3)","ne(4,1)","ne(0,5)","ne(0,1)",0,6,3
221,5,0,"ne(2,3)","nw(3,0)","nw(1,2)","ne(2,1)","nw(5,4)","ne(4,5)","ne(4,1)","ne(0,3)","ne(0,5)",0,6,3
222,5,0,"ne(2,3)","nw(3,0)","nw(1,2)","nw(3,2)","nw(1,4)","nw(5,0)","nw(5,4)","ne(4,1)","ne(0,5)",0,3,6
223,5,0,"ne(1,4)","ne(1,0)","ne(1,2)","ne(3,4)","ne(3,0)","ne(3,2)","up(3,5)","up(3,1)","up(3,3)",3,6,0
224,5,0,"ne(1,4)","ne(1,0)","ne(1,2)","up(1,5)","up(1,1)","up(1,3)","ne(5,4)","ne(5,0)","ne(5,2)",3,6,0
225,5,0,"ne(1,4)","ne(1,0)","ne(1,2)","up(1,5)","up(1,1)","up(1,3)","up(3,5)","up(3,1)","up(3,3)",6,3,0
226,5,0,"ne(1,4)","ne(1,0)","nw(4,1)","nw(2,3)","ne(3,4)","ne(3,2)","nw(0,5)","ne(5,0)","ne(5,2)",0,6,3
227,5,0,"ne(1,4)","nw(4,5)","nw(2,1)","ne(1,2)","ne(3,0)","ne(3,2)","nw(0,3)","ne(5,4)","ne(5,0)",0,6,3
228,5,0,"ne(1,4)","nw(4,5)","nw(2,1)","nw(4,1)","nw(2,3)","ne(3,2)","nw(0,5)","nw(0,3)","ne(5,0)",0,3,6
229,5,0,"nw(2,5)","ne(1,0)","ne(1,2)","nw(4,3)","ne(3,4)","ne(3,0)","nw(0,1)","ne(5,4)","ne(5,2)",0,6,3
230,5,0,"nw(2,5)","ne(1,0)","nw(4,1)","nw(2,3)","nw(4,3)","ne(3,4)","nw(0,5)","nw(0,1)","ne(5,2)",0,3,6
231,5,0,"nw(2,5)","nw(4,5)","up(5,1)","up(5,3)","up(1,1)","up(1,3)","nw(0,5)","up(3,1)","up(3,3)",6,0,3
232,5,0,"nw(2,5)","nw(4,5)","up(5,1)","nw(2,3)","nw(4,3)","up(1,1)","nw(0,5)","nw(0,3)","up(3,1)",3,0,6
233,5,0,"nw(2,5)","nw(4,5)","nw(2,1)","ne(1,2)","nw(4,3)","ne(3,0)","nw(0,1)","nw(0,3)","ne(5,4)",0,3,6
234,5,0,"nw(2,5)","nw(4,5)","nw(2,1)","nw(4,1)","up(5,3)","up(1,3)","nw(0,5)","nw(0,1)","up(3,3)",3,0,6
235,5,0,"nw(1,0)","ne(2,5)","ne(2,1)","nw(3,4)","nw(5,2)","ne(4,3)","ne(4,5)","ne(0,3)","ne(0,1)",0,6,3
236,5,0,"nw(1,0)","ne(2,5)","nw(3,2)","nw(1,4)","nw(3,4)","nw(5,0)","nw(5,2)","ne(4,3)","ne(0,1)",0,3,6
237,5,0,"nw(1,0)","nw(3,0)","up(0,2)","up(0,4)","nw(5,0)","up(2,2)","up(2,4)","up(4,2)","up(4,4)",6,0,3
238,5,0,"nw(1,0)","nw(3,0)","up(0,2)","nw(1,4)","nw(3,4)","nw(5,0)","nw(5,4)","up(2,2)","up(4,2)",3,0,6
239,5,0,"nw(1,0)","nw(3,0)","nw(1,2)","ne(2,1)","nw(3,4)","nw(5,2)","nw(5,4)","ne(4,5)","ne(0,3)",0,3,6
240,5,0,"nw(1,0)","nw(3,0)","nw(1,2)","nw(3,2)","up(0,4)","nw(5,0)","nw(5,2)","up(2,4)","up(4,4)",3,0,6
241,6,0,"up(0,0)","up(0,2)","nw(2,4)","nw(4,4)","ne(4,4)","ne(4,0)","nw(0,2)","up(4,0)","ne(0,2)",3,3,3
242,6,0,"up(0,0)","up(0,2)","nw(2,4)","nw(4,4)","ne(4,4)","nw(0,0)","up(2,2)","ne(0,0)","ne(0,2)",3,3,3
