dataset,structure_id,config_id,n_til,dE_DFT_eV,dE_UMA_eV,ga_faces,h_faces
energy-1st,285718,-1,0,0.701347,0.569344,28;42;56,1;5;7;9;11;13;15;21;25;33;35;37;39;51;61;63;65;71
energy-1st,286289,-1,0,1.394784,1.280554,28;42;56,1;3;9;11;13;15;21;25;35;37;39;47;51;53;59;61;63;69
energy-1st,291684,-1,0,1.960123,1.706439,28;42;56,1;7;9;11;15;19;21;33;35;39;47;49;53;59;61;63;69;71
energy-1st,302200,-1,0,0.603676,0.484971,28;42;56,1;3;5;9;11;13;19;21;35;39;47;49;53;59;61;65;67;69
energy-1st,302317,-1,0,1.307214,1.12445,28;42;56,1;5;7;9;11;13;15;19;21;33;35;39;47;49;61;65;67;71
energy-1st,304255,-1,0,1.006293,0.931325,28;42;56,1;3;5;9;11;13;19;21;35;39;47;49;51;53;59;61;69;71
energy-1st,306180,-1,0,1.043928,0.791163,28;42;56,1;3;5;9;11;13;21;33;35;47;49;53;59;61;63;65;67;69
energy-1st,310437,-1,0,0.8167,0.829565,28;42;56,1;3;5;7;9;11;13;15;21;35;47;49;51;53;61;63;67;71
energy-1st,310651,-1,0,0.959513,0.926056,28;42;56,1;3;5;7;9;11;13;15;21;33;35;49;51;59;61;63;65;67
energy-1st,313550,-1,0,0.78154,0.817394,28;42;56,1;3;9;11;13;15;21;35;39;47;49;51;59;61;63;65;67;71
energy-1st,327198,-1,0,0.527785,0.467149,28;42;56,1;3;5;9;11;15;21;25;35;39;47;49;59;61;63;65;67;69
energy-1st,330437,108287,1,0.359392,0.363095,28;42;56,1;3;5;7;9;11;21;25;35;39;47;49;51;59;61;63;65;69
energy-1st,331168,-1,0,0.669648,0.648189,28;42;56,1;7;9;11;15;21;25;35;39;47;49;51;59;61;63;65;67;71
energy-1st,331224,108307,1,0.573219,0.571998,28;42;56,1;5;7;9;11;15;21;25;35;39;47;49;51;59;61;63;65;71
energy-1st,335341,-1,0,0.564088,0.515055,28;42;56,3;5;7;9;11;13;21;25;35;39;47;49;51;59;61;65;67;71
energy-1st,342433,-1,0,0.749943,0.638039,28;42;56,3;5;9;11;13;19;21;25;33;35;39;47;49;51;59;61;63;69
energy-1st,342937,-1,0,0.982753,0.743325,28;42;56,3;7;9;11;13;21;25;33;35;39;49;51;53;59;61;63;65;71
energy-1st,344443,100860,1,0.567704,0.520887,28;42;56,3;7;9;11;13;15;21;25;33;35;39;49;51;59;61;63;65;71
energy-1st,345762,-1,0,0.830552,0.766451,28;42;56,1;3;7;9;11;13;15;19;21;25;35;49;53;59;61;65;67;69
energy-1st,348203,-1,0,0.412265,0.297831,28;42;56,1;3;5;7;9;11;13;21;25;33;35;47;49;51;53;59;61;69
energy-1st,348306,-1,0,0.639055,0.534965,28;42;56,1;3;7;9;11;13;19;21;25;33;35;47;49;51;59;61;65;67
energy-1st,349389,-1,0,0.618587,0.552893,28;42;56,1;3;5;7;9;11;13;15;21;25;33;35;49;51;53;59;61;67
energy-1st,349473,-1,0,0.316609,0.34964,28;42;56,1;3;7;9;11;13;15;21;25;35;47;49;51;59;61;65;67;71
energy-1st,349534,-1,0,0.359341,0.358523,28;42;56,1;3;5;7;9;11;13;15;21;25;35;47;49;51;59;61;65;69
energy-1st,350080,-1,0,1.275948,1.130817,28;42;56,1;7;9;11;13;21;25;33;39;47;49;51;59;61;65;67;69;71
energy-1st,351008,-1,0,0.527414,0.467187,28;42;56,1;3;7;9;11;13;21;25;35;39;47;49;51;53;61;65;67;71
energy-1st,352785,-1,0,0.473833,0.424594,28;42;56,1;3;7;9;11;13;15;21;25;35;39;49;51;53;59;61;65;67
energy-1st,352871,-1,0,1.527403,1.227565,28;42;56,1;3;5;7;9;11;13;15;19;21;25;39;47;49;51;53;61;65
energy-1st,352989,-1,0,0.695964,0.675938,28;42;56,1;5;7;9;11;13;19;21;25;35;47;49;59;61;63;65;67;71
energy-1st,353042,-1,0,0.531322,0.47899,28;42;56,1;5;7;9;11;13;21;25;35;47;49;53;59;61;63;65;69;71
energy-1st,353494,-1,0,0.681139,0.661844,28;42;56,1;3;5;9;11;13;21;25;35;47;49;53;59;61;63;65;69;71
energy-1st,355110,-1,0,0.254401,0.207656,28;42;56,1;5;7;9;11;13;21;25;33;35;39;47;49;59;61;63;65;69
energy-1st,355226,-1,0,0.769483,0.565669,28;42;56,1;7;9;11;13;21;25;33;35;39;47;49;53;59;61;63;65;67
energy-1st,355491,-1,0,0.33089,0.322708,28;42;56,1;3;5;9;11;13;19;21;25;35;39;47;49;59;61;63;67;69
energy-1st,355768,101037,1,0.317589,0.354286,28;42;56,1;3;7;9;11;13;21;25;33;35;39;49;59;61;63;65;67;71
energy-1st,355826,-1,0,0.11838,0.161541,28;42;56,1;3;5;7;9;11;13;21;25;35;39;47;49;59;61;63;65;69
energy-1st,355917,-1,0,0.328713,0.352485,28;42;56,1;3;5;9;11;13;19;21;25;35;39;49;59;61;63;65;67;69
energy-1st,357286,-1,0,0.798957,0.735291,28;42;56,1;3;9;11;13;15;19;21;25;35;39;47;49;53;59;61;63;67
energy-1st,357770,-1,0,0.965353,0.939165,28;42;56,1;3;9;11;13;15;21;25;35;39;47;49;53;61;63;65;67;71
energy-1st,358113,-1,0,0.234787,0.164961,28;42;56,1;5;7;9;11;13;21;25;33;35;47;49;51;59;61;63;65;69
energy-1st,358831,109098,2,0.435213,0.515317,28;42;56,1;3;5;7;9;11;13;21;25;35;49;51;59;61;63;65;69;71
energy-1st,359345,-1,0,1.0675,0.97385,28;42;56,1;9;11;13;15;21;25;35;47;49;51;53;59;61;63;67;69;71
energy-1st,359413,-1,0,0.604398,0.620562,28;42;56,1;5;7;9;11;13;15;21;25;35;49;51;53;59;61;63;69;71
energy-1st,359591,-1,0,0.607588,0.62647,28;42;56,1;7;9;11;13;15;19;21;25;35;47;49;51;61;63;65;67;71
energy-1st,359626,-1,0,0.171961,0.181391,28;42;56,1;5;7;9;11;13;15;21;25;33;35;49;51;59;61;63;65;69
energy-1st,360271,-1,0,0.530972,0.570894,28;42;56,1;3;7;9;11;13;15;21;25;35;49;51;53;59;61;63;67;71
energy-1st,360781,-1,0,1.252657,1.146386,28;42;56,1;3;9;11;13;15;21;25;33;49;51;53;59;61;63;65;67;71
energy-1st,360994,-1,0,0.90292,0.870491,28;42;56,1;5;7;9;11;13;21;25;33;35;39;49;51;61;63;67;69;71
